geometry,address,Lat,Lng,index_right,CONTINENT
POINT (-72.6908547 41.764582),"Hartford, Hartford County, Connecticut, United States of America",41.764582,-72.6908547,1.0,North America
POINT (-71.23283290000001 42.283431),"Needham, Norfolk County, Massachusetts, United States of America",42.283431,-71.2328329,1.0,North America
POINT (-72.6908547 41.764582),"Hartford, Hartford County, Connecticut, United States of America",41.764582,-72.6908547,1.0,North America
POINT (-87.6244212 41.8755616),"Chicago, Cook County, Illinois, United States of America",41.875561600000005,-87.6244212,1.0,North America
POINT (105.8544441 21.0294498),"Hà Nội, Việt Nam",21.029449800000002,105.85444409999998,0.0,Asia
POINT (-72.8306541 41.8098209),"Avon, Hartford County, Connecticut, United States of America",41.8098209,-72.8306541,1.0,North America
POINT (-63.5859487 44.648618),"Halifax, Nova Scotia, Canada",44.648618,-63.58594870000001,1.0,North America
POINT (-71.1828321 42.3709299),"Watertown, Middlesex County, Massachusetts, United States of America",42.3709299,-71.1828321,1.0,North America
POINT (-72.6908547 41.764582),"Hartford, Hartford County, Connecticut, United States of America",41.764582,-72.6908547,1.0,North America
POINT (-72.6908547 41.764582),"Hartford, Hartford County, Connecticut, United States of America",41.764582,-72.6908547,1.0,North America
POINT (-72.6908547 41.764582),"Hartford, Hartford County, Connecticut, United States of America",41.764582,-72.6908547,1.0,North America
POINT (-72.6908547 41.764582),"Hartford, Hartford County, Connecticut, United States of America",41.764582,-72.6908547,1.0,North America
POINT (-71.0582912 42.3602534),"Boston, Suffolk County, Massachusetts, United States of America",42.3602534,-71.0582912,1.0,North America
POINT (12.674297 42.6384261),Italia,42.6384261,12.674297,2.0,Europe
POINT (114.1849161 22.350627),"香港 Hong Kong, China 中国",22.350627,114.18491609999998,0.0,Asia
POINT (-121.4943996 38.5815719),"Sacramento, Sacramento County, California, United States of America",38.5815719,-121.49439960000001,1.0,North America
POINT (-64.9672817 -34.9964963),Argentina,-34.9964963,-64.9672817,4.0,South America
POINT (-58.4370894 -34.6075682),"Ciudad Autónoma de Buenos Aires, Comuna 6, Argentina",-34.6075682,-58.4370894,4.0,South America
POINT (31.5951655 4.8472017),"Juba, Central Equatoria, PRIVATE BAG, South Sudan",4.8472017,31.595165500000004,3.0,Africa
POINT (-59.6184184 13.0977832),"Bridgetown, Saint Michael, Barbados",13.0977832,-59.6184184,1.0,North America
POINT (7.2196635 51.4818111),"Bochum, Nordrhein-Westfalen, Regierungsbezirk Arnsberg, 44787, Deutschland",51.4818111,7.219663499999999,2.0,Europe
POINT (-118.7559974 36.7014631),"California, United States of America",36.7014631,-118.75599740000001,1.0,North America
POINT (-1.6880314 12.0753083),Burkina Faso,12.075308300000001,-1.6880313999999998,3.0,Africa
POINT (85.32058170000001 27.708317),"Kathmandu, Kamaladi Marg, Kamalpokhari, Baghbazar, काठमाडौं, वाग्मती प्रदेश, 46600, Nepal",27.708316999999997,85.3205817,0.0,Asia
POINT (-74.0760439 4.59808),"Bogotá, Bogotá Distrito Capital, 110321, Colombia",4.59808,-74.0760439,4.0,South America
POINT (-1.5437941 53.7974185),"Leeds, West Yorkshire, Yorkshire and the Humber, England, United Kingdom",53.797418500000006,-1.5437941000000002,2.0,Europe
POINT (-114.0625892 51.0534234),"Calgary, Strathmore (town), Alberta, Canada",51.0534234,-114.0625892,1.0,North America
POINT (-118.7559974 36.7014631),"California, United States of America",36.7014631,-118.75599740000001,1.0,North America
POINT (7.5878261 47.5581077),"Basel, Basel-Stadt, Switzerland",47.55810770000001,7.5878261,2.0,Europe
POINT (-73.61036420000001 45.4972159),"Montréal, Agglomération de Montréal, Montréal (06), Québec, Canada",45.4972159,-73.61036419999999,1.0,North America
POINT (-79.467545 43.99973),"Aurora, York Region, Golden Horseshoe, Ontario, Canada",43.99973,-79.467545,1.0,North America
POINT (14.4212535 50.0874654),"Praha, okres Hlavní město Praha, Hlavní město Praha, Praha, Česká republika",50.0874654,14.4212535,2.0,Europe
POINT (22.4160706 39.6383092),"Λάρισα, Δήμος Λαρισαίων, Περιφερειακή Ενότητα Λάρισας, Περιφέρεια Θεσσαλίας, Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδας, 42222, Ελλάδα",39.6383092,22.4160706,2.0,Europe
POINT (5.7480821 52.5001698),Nederland,52.500169799999995,5.7480820999999995,2.0,Europe
POINT (71.247499 30.3308401),پاکستان,30.3308401,71.247499,0.0,Asia
POINT (78.6677428 22.3511148),India,22.3511148,78.6677428,0.0,Asia
POINT (-71.3187697 -31.7613365),Chile,-31.7613365,-71.3187697,4.0,South America
POINT (-86.2820081 35.7730076),"Tennessee, United States of America",35.7730076,-86.28200809999998,1.0,North America
POINT (-70.6673851 41.9583799),"Plymouth, Plymouth County, Massachusetts, United States of America",41.9583799,-70.66738509999999,1.0,North America
POINT (-100.4458825 39.7837304),United States,39.7837304,-100.4458825,1.0,North America
POINT (-72.6509061 41.5623178),"Middletown, Middlesex County, Connecticut, United States of America",41.562317799999995,-72.6509061,1.0,North America
POINT (151.2164539 -33.8548157),"Sydney, New South Wales, Australia",-33.8548157,151.2164539,6.0,Australia
POINT (151.2164539 -33.8548157),"Sydney, New South Wales, Australia",-33.8548157,151.2164539,6.0,Australia
POINT (-122.3300624 47.6038321),"Seattle, King County, Washington, United States of America",47.6038321,-122.3300624,1.0,North America
POINT (-75.4013315 38.6920451),"Delaware, United States of America",38.6920451,-75.4013315,1.0,North America
POINT (6.5680077 53.2190652),"Groningen, Nederland",53.2190652,6.568007700000001,2.0,Europe
POINT (-3.1791934 51.4816546),"Cardiff, Cymru / Wales, CF, United Kingdom",51.481654600000006,-3.1791934,2.0,Europe
POINT (-64.35516389999999 44.4521637),"Oakland, Municipality of the District of Lunenburg, Lunenburg County, Nova Scotia, Canada",44.45216370000001,-64.3551639,1.0,North America
POINT (151.2164539 -33.8548157),"Sydney, New South Wales, Australia",-33.8548157,151.2164539,6.0,Australia
POINT (7.6571653 45.0545837),"Corso Duca degli Abruzzi, Crocetta, Torino, Provincia di Torino, Piemonte, 10129, Italia",45.05458370000001,7.657165299999999,2.0,Europe
POINT (-1.2578499 51.7520131),"Oxford, Oxfordshire, South East, England, United Kingdom",51.7520131,-1.2578499,2.0,Europe
POINT (2.1774322 41.3828939),"Barcelona, Barcelonès, Catalunya, 08001, España",41.3828939,2.1774322,2.0,Europe
POINT (-99.1331785 19.4326296),"Ciudad de México, México",19.4326296,-99.1331785,1.0,North America
POINT (-77.0946459 38.9848265),"Bethesda, Montgomery County, Maryland, 22814, United States of America",38.984826500000004,-77.0946459,1.0,North America
POINT (151.2164539 -33.8548157),"Sydney, New South Wales, Australia",-33.8548157,151.2164539,6.0,Australia
POINT (-121.8905833 37.3361905),"San Jose, Santa Clara County, California, United States of America",37.3361905,-121.89058329999999,1.0,North America
POINT (-0.1276474 51.5073219),"London, Greater London, England, United Kingdom",51.5073219,-0.1276474,2.0,Europe
POINT (-118.2427666 34.0536909),"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666,1.0,North America
POINT (-120.737257 43.9792797),"Oregon, United States of America",43.9792797,-120.737257,1.0,North America
POINT (67.0311286 24.8667795),"ڪراچي Karachi, Karāchi District, سنڌ, پاکستان",24.8667795,67.0311286,0.0,Asia
POINT (-84.0739102 10.2735633),Costa Rica,10.2735633,-84.0739102,1.0,North America
POINT (-118.7559974 36.7014631),"California, United States of America",36.7014631,-118.75599740000001,1.0,North America
POINT (-84.39018489999999 33.7490987),"Atlanta, Georgia, United States of America",33.749098700000005,-84.39018490000001,1.0,North America
POINT (-93.2654692 44.9772995),"Minneapolis, Hennepin County, Minnesota, United States of America",44.9772995,-93.2654692,1.0,North America
POINT (11.5753822 48.1371079),"München, Bayern, Deutschland",48.1371079,11.575382199999998,2.0,Europe
POINT (-110.9748477 32.2228765),"Tucson, Pima County, Arizona, United States of America",32.2228765,-110.9748477,1.0,North America
POINT (-83.73122909999999 42.2681569),"Ann Arbor, Washtenaw County, Michigan, United States of America",42.268156899999994,-83.7312291,1.0,North America
POINT (103.8303918221208 1.340863),"Singapore, Central, Singapore",1.340863,103.8303918221208,0.0,Asia
POINT (-77.03655809999999 38.8949924),"Washington, District of Columbia, 20230, United States of America",38.8949924,-77.0365581,1.0,North America
POINT (77.20900570000001 28.6138954),"New Delhi, Delhi, India",28.613895399999997,77.2090057,0.0,Asia
POINT (77.0299194 28.4646148),"Gurugram, Haryana, India",28.4646148,77.0299194,0.0,Asia
POINT (103.8303918221208 1.340863),"Singapore, Central, Singapore",1.340863,103.8303918221208,0.0,Asia
POINT (-95.3676974 29.7589382),"Houston, Harris County, Texas, United States of America",29.7589382,-95.36769740000001,1.0,North America
POINT (-72.9464859 41.6735209),"Bristol, Hartford County, Connecticut, United States of America",41.6735209,-72.9464859,1.0,North America
POINT (-69.942111 18.4801972),"Santo Domingo de Guzmán, Distrito Nacional, República Dominicana",18.4801972,-69.942111,1.0,North America
POINT (-74.4041622 40.0757384),"New Jersey, United States of America",40.0757384,-74.4041622,1.0,North America
POINT (-96.3071042 30.5955289),"College Station, Brazos County, Texas, United States of America",30.595528899999998,-96.3071042,1.0,North America
POINT (6.1784167 5.5273061),"Delta, Nigeria",5.5273061,6.1784167000000005,3.0,Africa
POINT (-80.0996306 26.318342),"Deerfield Beach, Broward County, Florida, United States of America",26.318341999999998,-80.0996306,1.0,North America
POINT (78.3665347 10.9094334),"Tamil Nadu, India",10.909433400000001,78.3665347,0.0,Asia
POINT (-81.2496068 42.9836747),"London, Southwestern Ontario, Ontario, N6A 1G4, Canada",42.9836747,-81.2496068,1.0,North America
POINT (139.636768 35.444991),"横浜市, 神奈川県, 231-0017, 日本 (Japan)",35.444990999999995,139.636768,0.0,Asia
POINT (-74.00601519999999 40.7127281),"New York, United States of America",40.7127281,-74.0060152,1.0,North America
POINT (78.6677428 22.3511148),India,22.3511148,78.6677428,0.0,Asia
POINT (78.6677428 22.3511148),India,22.3511148,78.6677428,0.0,Asia
POINT (-73.9495823 40.6501038),"Brooklyn, Kings County, New York, United States of America",40.6501038,-73.9495823,1.0,North America
POINT (42.3528328 25.6242618),السعودية,25.624261800000003,42.352832799999995,0.0,Asia
POINT (78.46106473453146 17.38878595),"Hyderabad, Telangana, India",17.38878595,78.46106473453145,0.0,Asia
POINT (75.851601 30.9090157),"Ludhiana, Ludhiana (West) Tahsil, Ludhiana, Punjab, 141001, India",30.9090157,75.851601,0.0,Asia
POINT (174.7631803 -36.852095),"Auckland, 1010, New Zealand",-36.852095,174.76318030000002,5.0,Oceania
POINT (78.6677428 22.3511148),India,22.3511148,78.6677428,0.0,Asia
POINT (-121.8905833 37.3361905),"San Jose, Santa Clara County, California, United States of America",37.3361905,-121.89058329999999,1.0,North America
POINT (-4.8380649 39.3262345),España,39.3262345,-4.838064900000001,2.0,Europe
POINT (71.247499 30.3308401),پاکستان,30.3308401,71.247499,0.0,Asia
POINT (31.2718321 49.4871968),Україна,49.4871968,31.2718321,2.0,Europe
POINT (-87.6244212 41.8755616),"Chicago, Cook County, Illinois, United States of America",41.875561600000005,-87.6244212,1.0,North America
POINT (78.6677428 22.3511148),India,22.3511148,78.6677428,0.0,Asia
POINT (105.8544441 21.0294498),"Hà Nội, Việt Nam",21.029449800000002,105.85444409999998,0.0,Asia
