geometry,address
POINT (-72.6908547 41.764582),"Hartford, Hartford County, Connecticut, United States of America"
POINT (-71.23283290000001 42.283431),"Needham, Norfolk County, Massachusetts, United States of America"
POINT (-72.6908547 41.764582),"Hartford, Hartford County, Connecticut, United States of America"
POINT (-87.6244212 41.8755616),"Chicago, Cook County, Illinois, United States of America"
POINT (105.8544441 21.0294498),"Hà Nội, Việt Nam"
POINT (-72.8306541 41.8098209),"Avon, Hartford County, Connecticut, United States of America"
POINT (-63.5859487 44.648618),"Halifax, Nova Scotia, Canada"
POINT (-71.1828321 42.3709299),"Watertown, Middlesex County, Massachusetts, United States of America"
POINT (-72.6908547 41.764582),"Hartford, Hartford County, Connecticut, United States of America"
POINT (-72.6908547 41.764582),"Hartford, Hartford County, Connecticut, United States of America"
POINT (-72.6908547 41.764582),"Hartford, Hartford County, Connecticut, United States of America"
POINT (-72.6908547 41.764582),"Hartford, Hartford County, Connecticut, United States of America"
POINT (-71.0582912 42.3602534),"Boston, Suffolk County, Massachusetts, United States of America"
POINT (12.674297 42.6384261),Italia
POINT (114.1849161 22.350627),"香港 Hong Kong, China 中国"
POINT (-121.4943996 38.5815719),"Sacramento, Sacramento County, California, United States of America"
POINT (-64.9672817 -34.9964963),Argentina
POINT (-58.4370894 -34.6075682),"Ciudad Autónoma de Buenos Aires, Comuna 6, Argentina"
POINT (31.5951655 4.8472017),"Juba, Central Equatoria, PRIVATE BAG, South Sudan"
POINT (-59.6184184 13.0977832),"Bridgetown, Saint Michael, Barbados"
POINT (7.2196635 51.4818111),"Bochum, Nordrhein-Westfalen, Regierungsbezirk Arnsberg, 44787, Deutschland"
POINT (-118.7559974 36.7014631),"California, United States of America"
POINT (-1.6880314 12.0753083),Burkina Faso
POINT (85.32058170000001 27.708317),"Kathmandu, Kamaladi Marg, Kamalpokhari, Baghbazar, काठमाडौं, वाग्मती प्रदेश, 46600, Nepal"
POINT (-74.0760439 4.59808),"Bogotá, Bogotá Distrito Capital, 110321, Colombia"
POINT (-1.5437941 53.7974185),"Leeds, West Yorkshire, Yorkshire and the Humber, England, United Kingdom"
POINT (-114.0625892 51.0534234),"Calgary, Strathmore (town), Alberta, Canada"
POINT (-118.7559974 36.7014631),"California, United States of America"
POINT (7.5878261 47.5581077),"Basel, Basel-Stadt, Switzerland"
POINT (-73.61036420000001 45.4972159),"Montréal, Agglomération de Montréal, Montréal (06), Québec, Canada"
POINT (-79.467545 43.99973),"Aurora, York Region, Golden Horseshoe, Ontario, Canada"
POINT (14.4212535 50.0874654),"Praha, okres Hlavní město Praha, Hlavní město Praha, Praha, Česká republika"
POINT (22.4160706 39.6383092),"Λάρισα, Δήμος Λαρισαίων, Περιφερειακή Ενότητα Λάρισας, Περιφέρεια Θεσσαλίας, Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδας, 42222, Ελλάδα"
POINT (5.7480821 52.5001698),Nederland
POINT (71.247499 30.3308401),پاکستان
POINT (78.6677428 22.3511148),India
POINT (-71.3187697 -31.7613365),Chile
POINT (-86.2820081 35.7730076),"Tennessee, United States of America"
POINT (-70.6673851 41.9583799),"Plymouth, Plymouth County, Massachusetts, United States of America"
POINT (-100.4458825 39.7837304),United States
POINT (-72.6509061 41.5623178),"Middletown, Middlesex County, Connecticut, United States of America"
POINT (151.2164539 -33.8548157),"Sydney, New South Wales, Australia"
POINT (151.2164539 -33.8548157),"Sydney, New South Wales, Australia"
